1.102639,0.538398,0.340996,1.778776,0.003317,7
1.13267,0.552599,0.353737,1.854566,0.003788,7
0.14464,0.08415,0.065013,0.236626,0.00297,3
0.07702,0.039447,0.029837,0.133674,0.008829,4
0.405763,0.185661,0.110043,0.917283,0.008163,5
0.086458,0.027824,0.011665,0.197936,0,6
0.075543,0.043354,0.030845,0.127341,0.006067,4
0.084663,0.035484,0.025594,0.17539,0.00879,6
0.086663,0.050826,0.040663,0.152712,0.020882,5.5
0.073102,0.029709,0.022035,0.119195,0.001727,6
0.09429,0.04215,0.029085,0.168421,0.044227,6
0.084058,0.035529,0.020711,0.134834,0.003745,6
1.245839,0.563541,0.339874,1.829708,0.008318,7
0.125438,0.076491,0.055303,0.228963,0.004159,3
0.077953,0.04026,0.025689,0.140028,0.010396,6
0.098576,0.044813,0.033903,0.174403,0.009627,6
0.110772,0.065455,0.046448,0.163224,0.004664,3
0.141337,0.079413,0.055197,0.239291,0.004559,3
1.171999,0.574146,0.362479,1.849385,0.005572,7
0.140993,0.081269,0.062114,0.26465,0.006107,3
0.13027,0.077793,0.058084,0.218062,0.00588,3
1.165094,0.559601,0.358124,1.724786,0.009619,7
0.103334,0.062528,0.047099,0.174375,0.005418,3

