0.863985,	0.400954,	0.245464,	1.460957,	0.00545, 	7,
0.130603,	0.08098,	0.055138,	0.231563,	0.002245, 	3,
0.431076,	0.194455,	0.106414,	0.939653,	0.008418, 	5	,
0.180323,	0.114081,	0.094962,	0.220602,	0.0033, 	6.5	,
0.111601,	0.067687,	0.054891,	0.191765,	0.008706,	3,
0.170105,	0.106787,	0.093727,	0.193182,	0.006061, 	6.5,
0.06713,	0.028887,	0.020479,	0.103385,	0.000861, 	6,
1.245839, 	0.563541,	0.339874,	1.829708,	0.008318, 	7,
0.088788,	0.053011,	0.03128,	0.151913,	0.000754, 	4,
0.125438,	0.076491,	0.055303,	0.228963,	0.004159, 	3,
0.07914,	0.044172,	0.031027,	0.134996,	0.006787, 	4,
0.138586,	0.074368,	0.046273,	0.291314,	0.061451, 	6,
1.030394,	0.468696,	0.294098,	1.597199,	0.005179, 	7,
0.368226,	0.128844,	0.068092,	0.903918,	0.011046, 	8,
0.153087,	0.085061,	0.061626,	0.292164,	0.001797, 	3,
0.103334,	0.062528,	0.047099,	0.174375,	0.005418,	3,
1.133315,	0.543488,	0.349563,	1.701137,	0.013821, 	7,
0.146917,	0.113244,	0.092486,	0.232495,	0.033265,	3,
1.129655,	0.5,		0.2976,	1.652623,	0.004774,	7,
0.080824,	0.044353,	0.030511,	0.148742,	0.007165, 	5.5,
0.533024,	0.235964,	0.152959,	1.081158,	0.014065,	5,
0.130638,	0.074727,	0.054586,	0.231244,	0.003778, 	3,
1.249232,	0.589909,	0.362852,	2.010983,	0.00726, 	7,

